,,BS16 5TR,BS8 4HY,BS4 2NZ,BS35 3RY,BS3 3NA,BS29 6AB,BS10 6DQ,BS25 1TW,BS16 4DD,BS10 5DB,BS48 3RE,BS37 6RX,BS13 8BW,BS5 8EJ
1,BS16 5TR,0,8.16,7.85,8.85,8.56,29.96,6.44,22.39,1.8,5.95,13.01,6.92,10.83,3.09
2,BS8 4HY,8.28,0,4.33,10.6,2.87,20.23,4.07,15.03,5.51,3.92,5.65,15.53,4.36,3.86
3,BS4 2NZ,7.63,4.87,0,13.04,2.93,17.66,6.57,15.87,4.46,5.24,7.98,13.6,5.13,2.49
4,BS35 3RY,8.88,15.1,13.62,0,13.41,25.83,7.44,29.49,9.99,6.81,16.48,14.74,17.84,12.09
5,BS3 3NA,8.57,2.37,2.63,13.09,0,15.25,7.33,13.46,5.8,5.93,5.48,15.82,2.26,4.24
6,BS29 6AB,30.64,16.68,17.51,26.27,15.15,0,24.67,3.96,31.75,25.89,13.26,36.51,13.88,33.85
7,BS10 6DQ,6.3,3.99,7.12,7.42,7.71,23.97,0,19.87,7.41,1.78,1.05,13.57,9.21,5.58
8,BS25 1TW,22.77,14.89,15.71,29.94,13.36,3.96,19.85,0,20,18.44,11.46,30.02,12.09,18.12
9,BS16 4DD,1.53,5.48,4.74,9.92,5.87,31.04,5.7,19.71,0,4.37,10.33,8.42,8.18,1.95
10,BS10 5DB,6.03,4.07,5.78,6.82,6.47,25.55,1.88,18.63,4.6,0,9.25,13.3,7.96,4.25
11,BS48 3RE,13.31,5.42,7.98,16.56,5.28,13.25,10.38,11.45,10.54,8.98,0,20.56,5.1,8.65
12,BS37 6RX,6.92,15.58,16.19,14.87,15.98,35.98,17.59,29.81,8.45,14.49,20.43,0,18.25,14.66
13,BS13 8BW,12.15,4.26,4.48,17.71,2.15,13.78,9.22,11.98,9.38,7.82,5.11,19.4,0,7.5
14,BS5 8EJ,3.24,5.85,2.88,11.66,4.16,18.89,5.89,17.1,2.15,4.56,8.96,11.22,5.9,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
