Job,Time on M_1,Time  on M_2,Time on M_3,Time on M_4,Time on M_5,Time on M_6,Time on M_7,Time on M_8
1,9,3,6,10,8,5,3,2
2,2,4,4,1,1,5,5,3
3,5,9,8,2,9,8,1,10
4,3,5,10,6,8,9,1,2
5,2,2,7,9,7,8,8,1
6,1,5,7,6,6,5,2,10
7,8,1,2,1,6,6,4,2
8,9,3,2,4,6,3,6,10
9,4,4,2,3,7,7,10,8
10,1,4,3,2,3,10,9,6
11,2,8,8,8,3,4,7,10
12,6,8,10,8,10,3,6,7
13,6,2,7,1,10,1,10,7
14,9,7,5,4,8,1,2,2
15,3,1,10,4,10,2,8,3
16,9,2,1,1,4,3,7,4
17,7,1,7,6,6,3,6,7
18,8,5,5,10,5,9,2,4
19,6,1,6,1,1,7,5,2
20,7,1,5,9,7,1,8,2
21,2,8,5,2,3,4,6,10
22,1,8,9,9,7,1,10,8
23,10,3,3,10,6,7,2,4
24,7,1,6,2,4,4,9,2
25,5,8,9,6,10,2,5,4
26,9,3,5,1,8,6,9,1
27,1,9,5,9,7,1,7,1
28,9,8,3,3,4,8,10,4
29,2,4,7,3,3,1,10,1
30,6,10,9,1,10,1,4,5
